employee_id;absence_days;sick_days;vacation_days_taken;bank_hours;overtime_hours;tardiness_count;performance_rating;bonus_percentage;tenure_years;probation_completed;last_promotion_date;last_training_date;compliance_status
emp_00001;3;2;13;52,0;20,0;6;5;7,58;3,34;True;;2024-07-04;compliant
emp_00002;1;1;14;-80,0;86,0;6;5;8,72;2,33;True;2024-07-21;2024-02-01;compliant
emp_00003;3;5;25;149,0;23,0;1;4;7,93;14,84;True;2014-10-18;2024-01-11;compliant
emp_00004;2;1;21;-92,0;22,0;5;3;5,27;5,35;True;;2025-01-05;compliant
emp_00005;1;2;15;93,0;72,0;3;2;10,95;14,03;True;;2025-01-19;compliant
emp_00006;3;7;20;-88,0;4,0;8;3;2,98;6,01;True;;2024-01-05;compliant
emp_00007;2;2;13;-91,0;98,0;3;5;3,72;3,53;True;2024-02-25;2024-08-11;compliant
emp_00008;2;6;15;196,0;31,0;1;1;13,05;10,48;True;2017-01-27;2023-09-03;compliant
emp_00009;2;3;22;-5,0;46,0;7;3;3,14;4,94;True;2024-05-23;;compliant
emp_00010;2;3;13;-59,0;1,0;4;1;3,24;5,1;True;;2024-12-15;compliant
emp_00011;0;1;11;125,0;33,0;2;4;12,14;1,23;True;;2024-10-05;compliant
emp_00012;1;1;16;161,0;59,0;2;3;9,88;10,91;True;;2023-10-09;compliant
emp_00013;2;3;12;-61,0;14,0;3;1;8,82;13,86;True;;;compliant
emp_00014;0;4;16;142,0;65,0;3;1;8,79;5,88;True;2023-02-18;;compliant
emp_00015;0;5;8;56,0;0,0;6;1;8,24;2,82;True;;2024-07-02;compliant
emp_00016;2;3;20;-32,0;95,0;6;4;13,34;4,45;True;;2025-02-04;compliant
emp_00017;2;0;18;8,0;91,0;4;2;4,88;12,56;True;2017-07-08;2023-10-29;compliant
emp_00018;1;2;14;171,0;74,0;7;5;22,82;11,02;True;;;compliant
emp_00019;2;1;15;171,0;48,0;10;4;4,0;14,76;True;2015-03-25;2024-06-28;compliant
emp_00020;1;5;10;178,0;36,0;6;1;5,97;4,7;True;2023-09-06;2024-02-22;compliant
emp_00021;1;5;17;164,0;17,0;5;2;14,87;4,37;True;2024-04-04;2024-07-09;compliant
emp_00022;2;5;17;161,0;91,0;8;5;14,19;11,38;True;2024-08-17;2025-05-21;compliant
emp_00023;3;2;14;-52,0;34,0;4;3;0,09;3,4;True;2023-11-02;;compliant
emp_00024;4;3;14;76,0;99,0;3;3;6,09;10,54;True;;;compliant
emp_00025;1;2;13;-77,0;8,0;3;1;16,72;14,98;True;;2025-06-03;compliant
emp_00026;3;1;15;-87,0;67,0;5;1;18,68;14,12;True;;2024-03-23;compliant
emp_00027;2;5;13;73,0;18,0;1;5;9,22;12,32;True;;;compliant
emp_00028;2;4;19;16,0;81,0;5;4;9,16;1,53;True;2025-05-07;2025-02-06;compliant
emp_00029;4;2;15;173,0;45,0;0;5;4,35;5,85;True;2024-03-02;;compliant
emp_00030;1;5;16;197,0;89,0;4;3;20,57;4,55;True;;2025-05-28;compliant
emp_00031;3;1;13;122,0;41,0;1;1;8,12;5,81;True;;2023-07-08;compliant
emp_00032;2;4;19;131,0;3,0;7;5;9,25;2,99;True;;2024-03-04;compliant
emp_00033;1;3;15;2,0;6,0;3;3;15,22;10,96;True;;;compliant
emp_00034;0;2;13;113,0;4,0;7;3;9,97;9,65;True;2019-05-27;;non-compliant
emp_00035;3;3;14;14,0;80,0;4;2;9,84;3,09;True;;;compliant
emp_00036;4;3;21;25,0;21,0;3;3;1,74;3,91;True;;2024-12-03;compliant
emp_00037;3;1;10;107,0;44,0;6;1;14,66;5,08;True;;2024-12-03;non-compliant
emp_00038;2;4;9;154,0;61,0;6;2;5,86;5,0;True;;;compliant
emp_00039;2;3;16;-65,0;65,0;10;1;3,0;10,39;True;2021-03-11;2024-01-07;compliant
emp_00040;5;5;15;-15,0;93,0;6;3;6,38;4,7;True;;2024-05-10;compliant
emp_00041;2;2;8;123,0;14,0;5;1;7,33;7,36;True;2023-04-17;;compliant
emp_00042;1;6;14;106,0;47,0;9;1;11,05;3,96;True;2024-01-11;2025-06-28;compliant
emp_00043;2;4;18;-34,0;18,0;5;4;7,1;13,19;True;;2024-02-25;compliant
emp_00044;3;5;18;-73,0;46,0;5;1;1,55;12,88;True;;2024-01-04;compliant
emp_00045;1;2;18;115,0;89,0;7;2;13,25;7,55;True;2020-11-12;2024-06-28;compliant
emp_00046;1;2;9;-64,0;92,0;6;2;5,08;1,31;True;;2023-12-09;compliant
emp_00047;3;1;17;1,0;19,0;3;2;1,14;12,5;True;2024-05-15;;compliant
emp_00048;4;2;23;-46,0;13,0;5;4;8,14;7,04;True;2021-12-04;2025-02-16;compliant
emp_00049;1;5;14;-74,0;62,0;3;3;8,05;12,62;True;;2025-02-18;compliant
emp_00050;5;7;20;70,0;40,0;7;3;3,3;1,04;True;;;compliant
emp_00051;0;3;19;42,0;30,0;2;4;3,45;7,96;True;;2025-04-06;compliant
emp_00052;3;2;10;-87,0;2,0;3;5;4,61;10,77;True;2016-02-04;2023-10-14;compliant
emp_00053;1;2;17;-1,0;100,0;6;2;8,62;10,05;True;;;compliant
emp_00054;1;5;16;7,0;5,0;7;1;11,96;2,03;True;2024-07-21;2025-01-02;compliant
emp_00055;4;3;16;143,0;95,0;7;2;12,21;4,74;True;2024-12-07;2024-06-19;compliant
emp_00056;3;2;14;60,0;76,0;5;3;17,69;11,95;True;;2025-05-30;compliant
emp_00057;1;8;14;-34,0;53,0;4;1;0,0;10,65;True;2023-03-15;2025-06-20;compliant
emp_00058;0;8;13;-56,0;8,0;4;3;6,62;10,73;True;2022-12-26;2024-06-09;compliant
emp_00059;2;3;11;144,0;38,0;6;3;11,14;3,5;True;2023-09-27;2023-09-17;compliant
emp_00060;1;2;11;30,0;23,0;5;4;2,48;11,98;True;2022-11-17;2025-04-15;compliant
emp_00061;2;3;12;139,0;27,0;3;1;10,59;5,26;True;;2024-10-15;compliant
emp_00062;1;6;20;186,0;82,0;4;1;12,39;10,37;True;2022-09-08;2024-05-07;compliant
emp_00063;1;0;20;-1,0;74,0;2;5;10,29;5,81;True;2023-12-16;2023-09-25;compliant
emp_00064;1;2;17;123,0;89,0;11;4;9,19;8,12;True;2020-11-04;;compliant
emp_00065;3;1;14;133,0;68,0;8;3;15,94;13,77;True;;2023-11-30;compliant
emp_00066;0;4;11;-38,0;66,0;6;2;8,66;5,05;True;2024-03-20;2024-01-31;compliant
emp_00067;3;2;9;83,0;96,0;1;1;10,37;2,73;True;2023-11-23;;compliant
emp_00068;4;6;14;-73,0;63,0;4;4;10,94;3,39;True;;2024-06-12;compliant
emp_00069;1;2;25;92,0;14,0;2;2;12,12;4,22;True;2023-03-04;2024-11-28;compliant
emp_00070;5;3;13;186,0;7,0;2;4;12,98;14,9;True;;2024-07-08;compliant
emp_00071;3;0;11;29,0;50,0;4;2;2,0;13,21;True;2014-09-20;;compliant
emp_00072;1;3;15;174,0;19,0;3;1;4,9;2,13;True;2025-03-16;;compliant
emp_00073;0;2;17;21,0;77,0;5;5;4,91;15,4;True;;;compliant
emp_00074;2;5;12;54,0;30,0;4;5;10,22;10,59;True;;2024-02-11;compliant
emp_00075;1;3;13;-93,0;50,0;3;4;2,26;13,39;True;;2024-03-30;compliant
emp_00076;1;3;10;125,0;45,0;4;4;8,1;7,36;True;;2024-08-12;compliant
emp_00077;1;2;22;-55,0;13,0;6;3;5,54;6,37;True;2024-03-03;2024-07-02;compliant
emp_00078;6;2;10;144,0;33,0;11;3;4,95;8,84;True;2023-09-06;2023-11-16;compliant
emp_00079;1;4;12;-1,0;94,0;5;1;10,13;1,52;True;;;compliant
emp_00080;0;4;12;81,0;98,0;5;4;4,2;13,58;True;;2024-07-18;compliant
emp_00081;0;0;13;55,0;12,0;7;1;9,63;2,69;True;2024-08-17;;non-compliant
emp_00082;5;5;10;-25,0;2,0;3;3;3,9;5,23;True;2023-10-24;2023-10-21;compliant
emp_00083;1;3;17;113,0;41,0;2;3;15,73;3,99;True;2023-12-26;2025-05-23;compliant
emp_00084;0;5;16;58,0;33,0;13;2;8,35;2,17;True;;;compliant
emp_00085;1;5;16;128,0;63,0;6;4;9,01;12,19;True;;;compliant
emp_00086;2;2;17;66,0;57,0;7;4;16,97;13,41;True;;;non-compliant
emp_00087;1;1;22;-28,0;39,0;5;1;13,13;14,54;True;2018-08-27;2025-02-05;compliant
emp_00088;4;2;11;28,0;12,0;4;4;16,08;14,75;True;;;non-compliant
emp_00089;8;1;8;87,0;2,0;1;4;10,11;5,76;True;;;non-compliant
emp_00090;2;6;22;76,0;14,0;8;3;10,94;14,73;True;2020-02-28;;compliant
emp_00091;3;5;16;13,0;48,0;5;3;7,14;5,46;True;;2023-11-02;compliant
emp_00092;1;5;13;78,0;83,0;5;3;4,5;7,74;True;;2023-12-13;compliant
emp_00093;0;0;17;-18,0;87,0;5;4;10,01;10,8;True;;;compliant
emp_00094;1;4;9;-12,0;57,0;5;5;12,82;14,63;True;;2024-03-10;compliant
emp_00095;1;4;18;-99,0;39,0;6;3;11,74;13,52;True;2020-04-02;2024-11-09;compliant
emp_00096;4;0;9;158,0;83,0;2;4;13,71;3,0;True;2023-10-22;2024-11-27;compliant
emp_00097;1;5;16;-98,0;24,0;6;5;7,5;10,93;True;;2024-01-25;compliant
emp_00098;2;4;14;100,0;31,0;7;4;7,85;3,26;True;;2024-08-02;non-compliant
emp_00099;1;4;23;70,0;21,0;4;2;6,49;4,58;True;;2023-08-19;compliant
emp_00100;1;4;19;15,0;91,0;3;3;7,98;5,13;True;2021-09-10;2025-04-28;compliant
emp_00101;2;6;15;-20,0;4,0;3;3;14,16;6,57;True;2023-02-08;2024-11-06;non-compliant
emp_00102;2;4;14;75,0;26,0;4;3;12,56;6,57;True;;;compliant
emp_00103;4;3;11;130,0;31,0;5;2;8,63;1,28;True;2025-05-22;2025-01-06;compliant
emp_00104;1;1;17;-69,0;25,0;6;1;4,29;11,33;True;;;compliant
emp_00105;1;1;8;-83,0;56,0;6;4;9,05;10,78;True;;2024-12-26;compliant
emp_00106;2;2;16;131,0;34,0;8;4;5,08;3,87;True;;2025-01-10;compliant
emp_00107;3;5;17;-77,0;54,0;8;5;9,3;6,84;True;2024-12-27;2025-02-13;compliant
emp_00108;2;5;13;-91,0;87,0;11;1;11,78;2,33;True;;;compliant
emp_00109;1;1;20;18,0;19,0;5;3;3,3;14,85;True;2023-06-28;2025-02-08;compliant
emp_00110;1;1;12;49,0;57,0;9;2;13,21;13,83;True;;2024-04-16;compliant
emp_00111;4;2;22;197,0;85,0;5;3;10,14;10,47;True;2018-05-30;2025-02-02;non-compliant
emp_00112;0;1;18;-63,0;77,0;11;5;4,91;3,64;True;;2023-12-19;compliant
emp_00113;2;2;17;-40,0;45,0;3;4;10,93;14,88;True;;2024-05-25;compliant
emp_00114;1;2;25;125,0;87,0;3;1;0,0;1,78;True;;;non-compliant
emp_00115;0;5;12;-2,0;85,0;4;4;9,67;13,44;True;;2023-12-04;compliant
emp_00116;0;2;10;91,0;79,0;4;1;11,16;14,66;True;2020-03-20;2024-10-17;compliant
emp_00117;3;6;14;52,0;78,0;6;5;9,65;11,92;True;2020-05-20;2023-10-21;compliant
emp_00118;1;0;18;-50,0;63,0;2;3;9,09;6,49;True;2021-05-24;;compliant
emp_00119;1;3;18;-7,0;16,0;5;1;11,03;11,8;True;2018-06-29;2023-12-08;compliant
emp_00120;1;4;22;189,0;90,0;5;4;5,5;6,6;True;2023-01-02;;compliant
emp_00121;1;5;15;-72,0;71,0;2;1;15,5;6,45;True;2021-04-15;2024-02-23;compliant
emp_00122;3;1;15;128,0;95,0;5;4;8,13;12,98;True;2014-11-04;2024-03-08;compliant
emp_00123;1;7;14;-72,0;57,0;5;4;11,15;0,86;True;;;compliant
emp_00124;2;3;18;57,0;57,0;8;1;8,82;13,49;True;;2023-08-13;compliant
emp_00125;2;4;11;-20,0;67,0;5;3;9,61;6,18;True;;;compliant
emp_00126;2;2;18;168,0;15,0;3;5;8,89;4,21;True;2023-08-17;2024-02-24;compliant
emp_00127;7;1;15;31,0;41,0;2;2;9,12;4,92;True;2024-04-20;2025-05-28;compliant
emp_00128;4;0;15;37,0;66,0;5;5;8,61;9,49;True;2018-06-30;2023-07-01;compliant
emp_00129;3;3;21;101,0;15,0;7;4;0,0;4,27;True;;;compliant
